"","name","fy","fp","AccountsPayableCurrent","AccountsReceivableNetCurrent","AccumulatedOtherComprehensiveIncomeLossNetOfTax","CashAndCashEquivalentsAtCarryingValue","CommonStockParOrStatedValuePerShare","CommonStockSharesAuthorized","CommonStockSharesIssued","CommonStockSharesOutstanding","ComprehensiveIncomeNetOfTax","DepreciationAndAmortization","DepreciationDepletionAndAmortization","NetIncomeLoss","OperatingIncomeLoss","PropertyPlantAndEquipmentNet","RetainedEarningsAccumulatedDeficit","WeightedAverageNumberOfSharesOutstandingBasic"
"1","30DC, INC.","2012","Q1",574888,NA,-91864,36418,NA,NA,NA,74520248,NA,NA,NA,-588189,-581084,74460,NA,68637110
"2","30DC, INC.","2012","Q2",573120.5,NA,NA,35577.75,NA,NA,NA,NA,-425124.5,NA,NA,NA,NA,NA,NA,NA
"3","30DC, INC.","2014","Q1",NA,NA,-102858,NA,0.001,1e+08,87150201.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","3AM TECHNOLOGIES INC","2018","Q4",NA,NA,NA,NA,0.001,2e+07,4500000,4500000,NA,NA,NA,-9629,NA,NA,-74740,NA
"5","3DX INDUSTRIES, INC.","2014","Q1",NA,NA,NA,NA,0.001,1.75e+08,16581409,NA,NA,NA,NA,-8071128,NA,NA,NA,NA
"6","3DX INDUSTRIES, INC.","2014","Q3",NA,NA,NA,9379.25,0.001,1.75e+08,19521409,19521409,NA,29878,NA,NA,5029107.6,1225045,NA,NA
"7","4NET SOFTWARE INC","2011","Q3",NA,NA,NA,NA,NA,NA,NA,9261017,NA,NA,NA,NA,-11427.75,NA,NA,NA
"8","4NET SOFTWARE INC","2012","Q3",NA,NA,NA,NA,0,1e+08,9261017,9261017,NA,NA,NA,NA,NA,NA,-3285263,NA
"9","4NET SOFTWARE INC","2013","Q1",NA,NA,NA,NA,0,1e+08,9261017,9261017,NA,NA,NA,NA,NA,NA,NA,NA
"10","4NET SOFTWARE INC","2013","Q2",NA,NA,NA,NA,0,1e+08,9261017,9261017,NA,NA,NA,NA,NA,NA,NA,NA
"11","4NET SOFTWARE INC","2014","Q1",NA,NA,NA,NA,0,1e+08,9261017,NA,NA,NA,NA,-5547.5,NA,NA,NA,NA
"12","4NET SOFTWARE INC","2015","Q3",NA,NA,NA,NA,NA,NA,9261017,NA,NA,NA,NA,NA,-8966.75,NA,-3409141,NA
"13","4NET SOFTWARE INC","2016","Q1",NA,NA,NA,NA,NA,NA,9261017,NA,NA,NA,NA,NA,NA,NA,-3440096.5,NA
"14","A&C UNITED AGRICULTURE DEVELOPING INC.","2012","Q2",NA,NA,NA,318541.75,NA,NA,NA,NA,-49425.5,NA,NA,NA,NA,NA,NA,NA
"15","A&C UNITED AGRICULTURE DEVELOPING INC.","2013","Q1",NA,NA,NA,NA,0.001,5e+08,35461995,35461995,NA,NA,NA,NA,NA,NA,NA,NA
"16","A&C UNITED AGRICULTURE DEVELOPING INC.","2013","Q3",NA,NA,257,NA,NA,NA,NA,NA,-116732.6,NA,NA,NA,NA,NA,NA,NA
"17","A&C UNITED AGRICULTURE DEVELOPING INC.","2014","Q1",NA,NA,307,NA,0.001,5e+08,36511495,NA,-151172,NA,NA,NA,NA,NA,NA,NA
"18","A&C UNITED AGRICULTURE DEVELOPING INC.","2014","Q2",10826,NA,297.5,259870,NA,NA,NA,NA,-133795.2,NA,NA,-119654,NA,NA,NA,NA
"19","A&C UNITED AGRICULTURE DEVELOPING INC.","2014","Q3",10000,NA,297.5,242087.333333333,NA,5e+08,36486495,NA,-165173.4,3536.8,NA,NA,-165245.6,NA,NA,NA
"20","A&C UNITED AGRICULTURE DEVELOPING INC.","2015","Q1",NA,230000,NA,193888,NA,NA,NA,NA,NA,4534,NA,NA,-195916,NA,NA,NA
"21","A&C UNITED AGRICULTURE DEVELOPING INC.","2015","Q2",56233,NA,NA,153384.833333333,NA,NA,NA,NA,-178730.2,4081.2,NA,NA,NA,NA,NA,NA
"22","A&C UNITED AGRICULTURE DEVELOPING INC.","2016","Q1",NA,NA,-1350,NA,NA,NA,NA,NA,-197060.333333333,NA,NA,NA,NA,NA,NA,NA
"23","A&C UNITED AGRICULTURE DEVELOPING INC.","2016","Q3",NA,NA,NA,62670.8333333333,0.001,NA,NA,36731495,-165712.6,NA,NA,NA,NA,NA,NA,NA
"24","A&C UNITED AGRICULTURE DEVELOPING INC.","2017","Q1",31052,NA,NA,NA,NA,5e+08,NA,NA,NA,NA,NA,NA,15940.5,NA,NA,NA
"25","A&C UNITED AGRICULTURE DEVELOPING INC.","2017","Q2",NA,NA,NA,151161.5,NA,NA,NA,39231495,-45932.75,NA,NA,NA,NA,NA,-716864.5,NA
