name,fy,fp,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,CashAndCashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,ComprehensiveIncomeNetOfTax,DepreciationAndAmortization,DepreciationDepletionAndAmortization,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,WeightedAverageNumberOfSharesOutstandingBasic
"30DC, INC.",2012,Q1,574888,,-91864,36418,,,,74520248,,,,-588189,-581084,74460,,68637110
"30DC, INC.",2012,Q2,573120.5,,,35577.75,,,,,-425124.5,,,,,,,
"30DC, INC.",2014,Q1,,,-102858,,0.001,1.00E+08,87150201.5,,,,,,,,,
3AM TECHNOLOGIES INC,2018,Q4,,,,,0.001,2.00E+07,4500000,4500000,,,,-9629,,,-74740,
"3DX INDUSTRIES, INC.",2014,Q1,,,,,0.001,1.75E+08,16581409,,,,,-8071128,,,,
"3DX INDUSTRIES, INC.",2014,Q3,,,,9379.25,0.001,1.75E+08,19521409,19521409,,29878,,,5029107.6,1225045,,
4NET SOFTWARE INC,2011,Q3,,,,,,,,9261017,,,,,-11427.75,,,
4NET SOFTWARE INC,2012,Q3,,,,,0,1.00E+08,9261017,9261017,,,,,,,-3285263,
4NET SOFTWARE INC,2013,Q1,,,,,0,1.00E+08,9261017,9261017,,,,,,,,
4NET SOFTWARE INC,2013,Q2,,,,,0,1.00E+08,9261017,9261017,,,,,,,,
4NET SOFTWARE INC,2014,Q1,,,,,0,1.00E+08,9261017,,,,,-5547.5,,,,
4NET SOFTWARE INC,2015,Q3,,,,,,,9261017,,,,,,-8966.75,,-3409141,
4NET SOFTWARE INC,2016,Q1,,,,,,,9261017,,,,,,,,-3440096.5,
A&C UNITED AGRICULTURE DEVELOPING INC.,2012,Q2,,,,318541.75,,,,,-49425.5,,,,,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2013,Q1,,,,,0.001,5.00E+08,35461995,35461995,,,,,,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2013,Q3,,,257,,,,,,-116732.6,,,,,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2014,Q1,,,307,,0.001,5.00E+08,36511495,,-151172,,,,,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2014,Q2,10826,,297.5,259870,,,,,-133795.2,,,-119654,,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2014,Q3,10000,,297.5,242087.3333,,5.00E+08,36486495,,-165173.4,3536.8,,,-165245.6,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2015,Q1,,230000,,193888,,,,,,4534,,,-195916,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2015,Q2,56233,,,153384.8333,,,,,-178730.2,4081.2,,,,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2016,Q1,,,-1350,,,,,,-197060.3333,,,,,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2016,Q3,,,,62670.83333,0.001,,,36731495,-165712.6,,,,,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2017,Q1,31052,,,,,5.00E+08,,,,,,,15940.5,,,
A&C UNITED AGRICULTURE DEVELOPING INC.,2017,Q2,,,,151161.5,,,,39231495,-45932.75,,,,,,-716864.5,
AB INTERNATIONAL GROUP CORP.,2016,Q2,,,,12486,0.001,7.50E+07,3370000,3370000,,,,-8591.5,,,-37972.5,
AB INTERNATIONAL GROUP CORP.,2016,Q3,,,,26843.25,0.001,,,7970000,,,,,,,,
AB INTERNATIONAL GROUP CORP.,2017,Q1,,,,,,7.50E+07,,26150000,,,,,,,-33937.5,
AB INTERNATIONAL GROUP CORP.,2017,Q2,,48468,,101733.3333,0.001,,,26150000,,,,,,,-8896.5,
ABM INDUSTRIES INC /DE/,2010,Q3,,,-2274000,,0.01,1.00E+08,51945894,,,,,,,,,
ABM INDUSTRIES INC /DE/,2011,Q1,106687500,,-1380000,,0.01,1.00E+08,52812458,,,,,10582500,19561000,,,
ABM INDUSTRIES INC /DE/,2011,Q2,103062500,503226500,-1285500,29458000,0.01,1.00E+08,52877416,,,,,16675500,,60217000,551882500,52499750
ABM INDUSTRIES INC /DE/,2011,Q3,,,-1498000,36528750,,,,,35480500,32541000,,,58322000,60071500,,52599750
ABM INDUSTRIES INC /DE/,2012,Q1,,562932500,-1981500,28732000,,,,,,,,9510000,,62145500,,53169000
ABM INDUSTRIES INC /DE/,2012,Q2,,558076500,,28653500,,,,,,,,,,60688000,,53435750
ABM INDUSTRIES INC /DE/,2012,Q3,127417500,564998000,-2283500,,0.01,1.00E+08,53766805.5,,31495750,38784500,,,51971500,,592173500,53566500
ABM INDUSTRIES INC /DE/,2013,Q1,130762000,602093500,,31000500,0.01,1.00E+08,54510947,,,14431500,,12006000,,,,
ABM INDUSTRIES INC /DE/,2013,Q2,131416500,,-2294500,33310750,0.01,1.00E+08,54553042,54553042,21852750,28726500,,,35515500,65152500,,54246250
ABM INDUSTRIES INC /DE/,2014,Q1,,,-1762000,,0.01,1.00E+08,55642024,,13101500,,,,,,,
ABM INDUSTRIES INC /DE/,2014,Q2,156100000,687750000,-1850000,37925000,,,,,23625000,,,,41550000,79250000,662050000,55325000
ABM INDUSTRIES INC /DE/,2014,Q3,,699300000,-1600000,34850000,0.01,1.00E+08,55734259,55734259,33300000,44600000,,,57375000,,,
ABM INDUSTRIES INC /DE/,2016,Q2,178650000,739800000,-7200000,42075000,0.01,,56022372.5,,,,28550000,19275000,27100000,,,
ABM INDUSTRIES INC /DE/,2017,Q1,180800000,,,,,1.00E+08,,,,,,,,,,56300000
ABM INDUSTRIES INC /DE/,2017,Q2,,827750000,,,,,,55679551,9875000,,,,,,733950000,56225000
ABM INDUSTRIES INC /DE/,2018,Q3,227800000,,,,0.01,1.00E+08,65667932.5,65667932.5,45925000,,64750000,40500000,,142950000,746650000,61050000
ABM INDUSTRIES INC /DE/,2019,Q1,215500000,,,,0.01,1.00E+08,66107370,66107370,30300000,,27850000,20400000,24900000,140050000,774900000,66150000
ABM INDUSTRIES INC /DE/,2019,Q2,,,,46400000,0.01,1.00E+08,66167582.5,66167582.5,,,,,,141850000,,
ABM INDUSTRIES INC /DE/,2019,Q3,,,,,0.01,,,,,,,59475000,,,,66300000
ABM INDUSTRIES INC /DE/,2020,Q1,,,,64150000,,,66662215.5,66662215.5,,,,,,,,
ABM INDUSTRIES INC /DE/,2020,Q2,,,-29400000,307200000,0.01,1.00E+08,66608278,66608278,,,,-43300000,-12050000,,,
"ABSOLUTE LIFE SOLUTIONS, INC.",2012,Q3,,631500,,,,5.00E+08,87025143.5,87025143.5,,,,,,81099.5,-31239640,91237524.75
"ABSOLUTE LIFE SOLUTIONS, INC.",2013,Q1,,,,,0,5.00E+08,92544747,92229599,,,,,,,,
"ABSOLUTE POTENTIAL, INC.",2012,Q2,,,,147,,,,,,,,,,,,
"ACCELERATED ACQUISITION XV, INC",2012,Q1,,,,200,,,,,,,,,,,,
"ACCELERATED ACQUISITION XVI, INC.",2012,Q1,,,,200,,,,,,,,,,,,
"ACCELERATED ACQUISITION XVI, INC.",2013,Q1,,,,,7.00E-04,1.00E+08,26350000,26350000,,,,-6673,,,,
"ACCELERATED ACQUISITION XVII, INC.",2012,Q1,,,,200,,,,,,,,,,,,
"ACCELERATED ACQUISITION XVII, INC.",2013,Q1,,,,,0.001,1.00E+08,5.00E+06,5.00E+06,,,,-7471,,,,
"ACCELERATED ACQUISITION XVII, INC.",2013,Q2,,,,56,,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"ACCELERATED ACQUISITION XVII, INC.",2014,Q2,,,,,,,,,,,,-4694.5,,,,5.00E+06
"ACCELPATH, INC.",2013,Q1,1272788.5,49579,,,,,,,,,,,,,,
"ACCELPATH, INC.",2014,Q3,,,,4932.75,0.001,9.95E+09,676467232.5,676467232.5,,,,,-317218.75,,,
ACCENTIA BIOPHARMACEUTICALS INC,2012,Q1,1074909,1279582.667,,,,,,,,,,,-6780269,690348.8,-333252178,
ACCENTIA BIOPHARMACEUTICALS INC,2012,Q2,978483,1019899.667,,,,,,,,,,,,596483.6667,,
ACCENTIA BIOPHARMACEUTICALS INC,2012,Q3,1188830.5,840847.5,,706188.5,,,,,,,,,,901855.5,-334807203,
ACCESS PLANS INC,2012,Q1,924934,4316902,,9992486,,,,19927204,,,,1356763,2636266,118614.5,,19902204
"ACRO BIOMEDICAL CO., LTD.",2018,Q1,,,,14203,,,,,,,,,36407,,,
"ACRO BIOMEDICAL CO., LTD.",2019,Q3,,,,10701,,,,,,,,,,,,
"ACROBOO, INC.",2014,Q2,,,,460,,,,,,,,-195868.3333,,,,
"ACTIVECARE, INC.",2011,Q3,,,,,,,,30428660,,,453914.5,,-4000413.75,168894,,20705108.75
"ACTIVECARE, INC.",2012,Q1,496595,,,,,,,39168160,,,,-2922566,-2869994,223962.5,,32493000
"ACTIVECARE, INC.",2013,Q1,,,,,0,5.00E+07,46438521,,,,193777,,,,,
"ACTIVECARE, INC.",2013,Q2,1872596,,,,0,5.00E+07,46613521,46613521,,,381331.5,,-3325862.25,262623,,
"ACTIVECARE, INC.",2014,Q2,5660813.5,,,,,,,,,,,-5056339.25,-4149755.5,,,
"ACTIVECARE, INC.",2015,Q3,4499183.5,,,,,,,,,,,,-5023560,182105,-82520404.5,
"ACTIVECARE, INC.",2016,Q1,4571105.5,,,,,,,,,,,,,,-93201701,
ACTUANT CORP,2011,Q2,137864000,,-51781000,,0.2,1.68E+08,68317841,68317841,,,,,,108523500,985287000,67892250
ACTUANT CORP,2012,Q3,168858000,230599000,-48745000,,0.2,1.68E+08,71966031.5,,54587250,,39167500,,109171250,,1129067000,69207250
ACTUANT CORP,2013,Q1,,233511500,,,,,,,,,13994500,36758500,,,,
ACTUANT CORP,2013,Q2,,,-69370000,,,,,,15810800,,27754000,,,46001600,,70530250
